Time,S,E,I,R
0.0,90.0,10.0,0.0,0.0
0.350802332253363,90.0,9.0,1.0,1.0
1.4836325714044865,90.0,8.0,2.0,2.0
1.8127865746462297,89.0,9.0,2.0,2.0
1.9210320284924722,89.0,8.0,3.0,3.0
1.9615135203749525,88.0,9.0,3.0,3.0
2.6556770295134493,88.0,9.0,2.0,2.0
3.0275032679271603,88.0,8.0,3.0,3.0
3.9757214538582026,88.0,7.0,4.0,4.0
4.623584624760754,87.0,8.0,4.0,4.0
4.916053320728676,87.0,8.0,3.0,3.0
5.402833604433717,87.0,7.0,4.0,4.0
5.70191397592416,86.0,8.0,4.0,4.0
5.795730726836055,85.0,9.0,4.0,4.0
6.384588007204738,84.0,10.0,4.0,4.0
6.388995367519948,84.0,9.0,5.0,5.0
6.573834060470543,83.0,10.0,5.0,5.0
6.863412398189362,83.0,9.0,6.0,6.0
6.8946792281361,82.0,10.0,6.0,6.0
6.982164307685483,82.0,9.0,7.0,7.0
7.283522818013745,81.0,10.0,7.0,7.0
7.47849665996847,81.0,9.0,8.0,8.0
7.56663628932002,80.0,10.0,8.0,8.0
7.680124223720348,80.0,10.0,7.0,7.0
7.714092746769294,79.0,11.0,7.0,7.0
8.045451462170327,78.0,12.0,7.0,7.0
8.076913611141038,78.0,12.0,6.0,6.0
8.170577062859124,78.0,11.0,7.0,7.0
8.184956266739068,78.0,10.0,8.0,8.0
8.209468230515004,77.0,11.0,8.0,8.0
8.572528695358525,76.0,12.0,8.0,8.0
8.783074933156955,75.0,13.0,8.0,8.0
8.791557623379937,75.0,12.0,9.0,9.0
8.809569250820424,75.0,12.0,8.0,8.0
8.951474891583374,75.0,11.0,9.0,9.0
8.980709532425289,74.0,12.0,9.0,9.0
9.42956006175536,74.0,11.0,10.0,10.0
9.565103691694247,74.0,11.0,9.0,9.0
9.81946998856564,73.0,12.0,9.0,9.0
10.102217612705147,73.0,11.0,10.0,10.0
10.12793079331511,73.0,11.0,9.0,9.0
10.163424267275936,73.0,10.0,10.0,10.0
10.335901530565437,73.0,9.0,11.0,11.0
10.40150340827894,72.0,10.0,11.0,11.0
10.447334457051982,72.0,9.0,12.0,12.0
11.00633232286807,72.0,9.0,11.0,11.0
11.42240450064192,72.0,9.0,10.0,10.0
11.595483863795112,72.0,8.0,11.0,11.0
11.634886017668542,72.0,8.0,10.0,10.0
11.725087764926126,72.0,8.0,9.0,9.0
11.840887600968488,71.0,9.0,9.0,9.0
11.93230555176397,71.0,8.0,10.0,10.0
11.96085229515104,70.0,9.0,10.0,10.0
12.181159956327656,70.0,8.0,11.0,11.0
12.335913843834604,69.0,9.0,11.0,11.0
12.337580898562981,69.0,8.0,12.0,12.0
12.392072457071842,68.0,9.0,12.0,12.0
12.51178262360336,67.0,10.0,12.0,12.0
12.538440777308129,67.0,9.0,13.0,13.0
12.803332673984844,67.0,8.0,14.0,14.0
12.946543781455931,67.0,8.0,13.0,13.0
12.975419359546919,66.0,9.0,13.0,13.0
12.983267965972393,66.0,9.0,12.0,12.0
13.152552513168924,65.0,10.0,12.0,12.0
13.269326824937014,64.0,11.0,12.0,12.0
13.590878710910577,63.0,12.0,12.0,12.0
13.626154597807078,63.0,12.0,11.0,11.0
13.71668635546621,63.0,11.0,12.0,12.0
13.877735874451718,62.0,12.0,12.0,12.0
13.918561931064453,62.0,11.0,13.0,13.0
13.936195741108362,62.0,10.0,14.0,14.0
14.107787864590556,62.0,9.0,15.0,15.0
14.185533365230999,61.0,10.0,15.0,15.0
14.251758376296644,61.0,10.0,14.0,14.0
14.317806752328178,61.0,9.0,15.0,15.0
14.484464530332708,60.0,10.0,15.0,15.0
14.496438909204565,59.0,11.0,15.0,15.0
14.534978392161241,59.0,11.0,14.0,14.0
14.555588405778058,59.0,10.0,15.0,15.0
14.693176136321492,58.0,11.0,15.0,15.0
14.70275970781576,58.0,11.0,14.0,14.0
14.885286229901412,58.0,11.0,13.0,13.0
15.205701267290854,57.0,12.0,13.0,13.0
15.507140191880064,57.0,11.0,14.0,14.0
15.685973255613508,57.0,10.0,15.0,15.0
15.718429407809618,56.0,11.0,15.0,15.0
15.748625547260684,56.0,10.0,16.0,16.0
15.758158148480275,56.0,10.0,15.0,15.0
15.971720835872887,56.0,9.0,16.0,16.0
16.027410537227773,56.0,9.0,15.0,15.0
16.177240193007403,56.0,9.0,14.0,14.0
16.246225729518716,56.0,8.0,15.0,15.0
16.292977654819904,55.0,9.0,15.0,15.0
16.400820999525624,55.0,8.0,16.0,16.0
16.49394601453724,54.0,9.0,16.0,16.0
16.614238774320786,53.0,10.0,16.0,16.0
16.823914815902455,53.0,9.0,17.0,17.0
16.971900013697553,53.0,8.0,18.0,18.0
17.070758139100967,53.0,7.0,19.0,19.0
17.08372644180085,52.0,8.0,19.0,19.0
17.134445194399003,51.0,9.0,19.0,19.0
17.159982634291207,51.0,9.0,18.0,18.0
17.198528664833518,51.0,8.0,19.0,19.0
17.37001070039018,51.0,7.0,20.0,20.0
17.674882681945547,51.0,7.0,19.0,19.0
17.699607257673325,51.0,7.0,18.0,18.0
17.75857318758342,50.0,8.0,18.0,18.0
18.02704440784799,50.0,8.0,17.0,17.0
18.107880780086372,49.0,9.0,17.0,17.0
18.16059523766772,49.0,8.0,18.0,18.0
18.248498999496753,49.0,7.0,19.0,19.0
18.654766265977425,49.0,7.0,18.0,18.0
18.718270661098767,48.0,8.0,18.0,18.0
19.264380707734034,47.0,9.0,18.0,18.0
19.2878145093102,47.0,8.0,19.0,19.0
19.404987167591884,46.0,9.0,19.0,19.0
19.44406579164574,46.0,9.0,18.0,18.0
19.50047709117293,45.0,10.0,18.0,18.0
19.76709864009766,44.0,11.0,18.0,18.0
19.82837338430242,44.0,11.0,17.0,17.0
20.003958737867865,44.0,10.0,18.0,18.0
20.07288801581547,44.0,10.0,17.0,17.0
20.12854400238305,44.0,9.0,18.0,18.0
20.336275677735603,44.0,8.0,19.0,19.0
20.692129577173613,44.0,8.0,18.0,18.0
20.73951498911684,44.0,8.0,17.0,17.0
20.876595262860675,44.0,7.0,18.0,18.0
20.92541237915396,44.0,7.0,17.0,17.0
20.998208898161607,44.0,6.0,18.0,18.0
21.199356270500267,43.0,7.0,18.0,18.0
21.33888505197527,42.0,8.0,18.0,18.0
21.350914652913037,41.0,9.0,18.0,18.0
21.38567393843563,41.0,9.0,17.0,17.0
21.56697690947727,40.0,10.0,17.0,17.0
21.642257630821337,40.0,9.0,18.0,18.0
21.722368385667643,40.0,8.0,19.0,19.0
21.868810464003413,40.0,8.0,18.0,18.0
21.920921776279602,39.0,9.0,18.0,18.0
22.040390398792137,39.0,9.0,17.0,17.0
22.08695077609733,38.0,10.0,17.0,17.0
22.107981030138678,37.0,11.0,17.0,17.0
22.400705135519136,37.0,11.0,16.0,16.0
22.5507591402219,36.0,12.0,16.0,16.0
22.70167269858072,35.0,13.0,16.0,16.0
22.744913513671825,35.0,12.0,17.0,17.0
22.906055243643443,34.0,13.0,17.0,17.0
23.100033450901,34.0,12.0,18.0,18.0
23.109033814258066,34.0,12.0,17.0,17.0
23.158847236487297,34.0,11.0,18.0,18.0
23.200858736713098,34.0,11.0,17.0,17.0
23.27258628336257,34.0,10.0,18.0,18.0
23.789423887110697,33.0,11.0,18.0,18.0
24.295712846933235,33.0,10.0,19.0,19.0
24.48800694389321,32.0,11.0,19.0,19.0
24.792197008373485,32.0,10.0,20.0,20.0
24.845865298939163,31.0,11.0,20.0,20.0
25.39623351073284,30.0,12.0,20.0,20.0
25.40308973744913,30.0,12.0,19.0,19.0
25.50989541684866,30.0,11.0,20.0,20.0
25.737176711499117,30.0,11.0,19.0,19.0
25.752702623809707,29.0,12.0,19.0,19.0
25.919380954424827,29.0,12.0,18.0,18.0
25.9637915777057,29.0,11.0,19.0,19.0
26.071774245795048,28.0,12.0,19.0,19.0
26.526416764270305,27.0,13.0,19.0,19.0
26.535710240819554,27.0,13.0,18.0,18.0
26.754338637337728,26.0,14.0,18.0,18.0
26.838845921506856,25.0,15.0,18.0,18.0
27.540482702831273,25.0,14.0,19.0,19.0
27.76990161436185,25.0,14.0,18.0,18.0
27.969503558409595,25.0,13.0,19.0,19.0
27.992141330422385,25.0,13.0,18.0,18.0
28.04662558990639,25.0,13.0,17.0,17.0
28.094346828588538,25.0,12.0,18.0,18.0
28.188003425268697,25.0,12.0,17.0,17.0
28.27804951109566,25.0,12.0,16.0,16.0
29.280095198599703,25.0,11.0,17.0,17.0
29.540447547766156,25.0,11.0,16.0,16.0
30.51584730603519,25.0,10.0,17.0,17.0
30.62845159729324,25.0,9.0,18.0,18.0
30.750574290089194,24.0,10.0,18.0,18.0
30.851000240327547,24.0,9.0,19.0,19.0
30.870026859899493,23.0,10.0,19.0,19.0
30.978544451650656,23.0,9.0,20.0,20.0
31.00912004626936,23.0,9.0,19.0,19.0
31.0710116627976,23.0,9.0,18.0,18.0
31.121210623212264,23.0,9.0,17.0,17.0
31.299812510034993,23.0,8.0,18.0,18.0
31.34367883472255,23.0,8.0,17.0,17.0
31.38878924033505,23.0,8.0,16.0,16.0
31.872430748122728,22.0,9.0,16.0,16.0
31.978149840200857,22.0,9.0,15.0,15.0
32.07680508331018,22.0,9.0,14.0,14.0
32.246508548077664,22.0,9.0,13.0,13.0
32.2799227759241,22.0,9.0,12.0,12.0
32.37776077398237,22.0,9.0,11.0,11.0
32.575864574593844,22.0,8.0,12.0,12.0
33.22735215888272,22.0,8.0,11.0,11.0
34.490525219480645,21.0,9.0,11.0,11.0
34.5528959602478,21.0,9.0,10.0,10.0
34.77237118713543,21.0,9.0,9.0,9.0
34.78899294728754,20.0,10.0,9.0,9.0
34.85743934773975,20.0,10.0,8.0,8.0
34.963328196664165,20.0,9.0,9.0,9.0
35.42256200019937,20.0,9.0,8.0,8.0
35.77988160378964,20.0,8.0,9.0,9.0
35.91638908260299,20.0,7.0,10.0,10.0
36.10336370401357,20.0,7.0,9.0,9.0
36.44438649347557,20.0,7.0,8.0,8.0
36.64913135583775,20.0,6.0,9.0,9.0
36.9697893876763,20.0,5.0,10.0,10.0
37.13197686869915,20.0,5.0,9.0,9.0
37.30766115365691,20.0,5.0,8.0,8.0
37.55867147027988,20.0,4.0,9.0,9.0
38.13741314147981,20.0,3.0,10.0,10.0
38.85284322112218,20.0,3.0,9.0,9.0
39.37591225623701,20.0,3.0,8.0,8.0
39.74883424000479,19.0,4.0,8.0,8.0
40.8370969186563,19.0,4.0,7.0,7.0
40.96482753321991,19.0,4.0,6.0,6.0
42.138132744469765,19.0,4.0,5.0,5.0
42.92803130871296,19.0,3.0,6.0,6.0
44.02196336476533,19.0,3.0,5.0,5.0
44.48236733689669,19.0,3.0,4.0,4.0
44.90030075432544,19.0,2.0,5.0,5.0
46.899364788809535,19.0,2.0,4.0,4.0
47.22681344677759,19.0,1.0,5.0,5.0
47.87925668378413,19.0,1.0,4.0,4.0
47.91608280095704,19.0,0.0,5.0,5.0
48.10129505871594,19.0,0.0,4.0,4.0
49.32507808572004,19.0,0.0,3.0,3.0
50.683027869048935,19.0,0.0,2.0,2.0
52.12249028162825,19.0,0.0,1.0,1.0
59.88762606215821,19.0,0.0,0.0,0.0
