Iter,Time,S,E,I,R
0,0.0,900.0,100.0,0.0,0.0
1,0.04339924909858718,900.0,99.0,1.0,0.0
2,0.1099683110816391,900.0,98.0,2.0,0.0
3,0.13323199663436003,900.0,97.0,3.0,0.0
4,0.18272244090042575,900.0,96.0,4.0,0.0
5,0.2618521874851743,900.0,95.0,5.0,0.0
6,0.3219431202276304,900.0,94.0,6.0,0.0
7,0.3451691055905996,900.0,93.0,7.0,0.0
8,0.3554064981287832,900.0,92.0,8.0,0.0
9,0.41838195877365975,900.0,91.0,9.0,0.0
10,0.47567790927843895,900.0,90.0,10.0,0.0
11,0.4818183630061364,900.0,89.0,11.0,0.0
12,0.5222043777662333,900.0,88.0,12.0,0.0
13,0.5412211876015657,900.0,87.0,13.0,0.0
14,0.5953870182882179,900.0,86.0,14.0,0.0
15,0.6362311527023683,900.0,85.0,15.0,0.0
16,0.6667967183572033,899.0,86.0,15.0,0.0
17,0.7244131635554808,899.0,85.0,16.0,0.0
18,0.7293971579366207,899.0,84.0,17.0,0.0
19,0.7745848185706334,899.0,83.0,18.0,0.0
20,0.8165616949731358,899.0,82.0,19.0,0.0
21,0.843309979328214,899.0,81.0,20.0,0.0
22,0.9036504221252902,899.0,80.0,21.0,0.0
23,0.9209425064232829,898.0,81.0,21.0,0.0
24,0.9353996812444064,898.0,80.0,22.0,0.0
25,0.9503717110926159,898.0,79.0,23.0,0.0
26,0.9993214416311115,898.0,78.0,24.0,0.0
27,1.004647361338791,898.0,77.0,25.0,0.0
28,1.0284752516457665,898.0,76.0,26.0,0.0
29,1.047515080910624,898.0,76.0,25.0,0.0
30,1.1432725971334332,898.0,76.0,24.0,0.0
31,1.1494840598121856,897.0,77.0,24.0,0.0
32,1.235712417995212,897.0,76.0,25.0,0.0
33,1.3032538439144796,897.0,76.0,24.0,0.0
34,1.3321255698082688,896.0,77.0,24.0,0.0
35,1.3472727539937868,896.0,76.0,25.0,0.0
36,1.3682363777634234,896.0,75.0,26.0,0.0
37,1.4427687196545929,896.0,74.0,27.0,0.0
38,1.4687993125907994,896.0,73.0,28.0,0.0
39,1.4905427914612253,895.0,74.0,28.0,0.0
40,1.5171782560994094,895.0,73.0,29.0,0.0
41,1.5815234617631992,894.0,74.0,29.0,0.0
42,1.6330060643410662,893.0,75.0,29.0,0.0
43,1.6515677445507302,892.0,76.0,29.0,0.0
44,1.6843833290506238,892.0,75.0,30.0,0.0
45,1.6969834159454036,892.0,74.0,31.0,0.0
46,1.7084450063034367,892.0,73.0,32.0,0.0
47,1.7227065078616546,891.0,74.0,32.0,0.0
48,1.7575165831160442,891.0,73.0,33.0,0.0
49,1.7806357545108125,891.0,72.0,34.0,0.0
50,1.7901261399262451,891.0,71.0,35.0,0.0
51,1.831258746032732,891.0,70.0,36.0,0.0
52,1.8622753386025945,891.0,70.0,35.0,0.0
53,1.8663648908954575,891.0,69.0,36.0,0.0
54,1.906066865405604,891.0,68.0,37.0,0.0
55,1.909818401173137,891.0,67.0,38.0,0.0
56,1.9263665329579793,891.0,66.0,39.0,0.0
57,1.954632744720243,891.0,65.0,40.0,0.0
58,1.9800380960468034,891.0,64.0,41.0,0.0
59,2.2117079684932555,890.0,65.0,41.0,0.0
60,2.2341330118966205,889.0,66.0,41.0,0.0
61,2.2894830980207734,888.0,67.0,41.0,0.0
62,2.290279963805194,888.0,66.0,42.0,0.0
63,2.3007950397597288,888.0,66.0,41.0,0.0
64,2.3256107599134226,887.0,67.0,41.0,0.0
65,2.397231359384676,886.0,68.0,41.0,0.0
66,2.4147202068619564,886.0,67.0,42.0,0.0
67,2.425301409007707,886.0,66.0,43.0,0.0
68,2.427969585478909,886.0,65.0,44.0,0.0
69,2.4656309118546775,885.0,66.0,44.0,0.0
70,2.4745847557284075,885.0,66.0,43.0,0.0
71,2.477227451179769,885.0,65.0,44.0,0.0
72,2.479262883533903,884.0,66.0,44.0,0.0
73,2.4877002280918825,883.0,67.0,44.0,0.0
74,2.5277973997145855,882.0,68.0,44.0,0.0
75,2.570594947365072,882.0,67.0,45.0,0.0
76,2.5950142066867574,882.0,66.0,46.0,0.0
77,2.6794484493523982,882.0,65.0,47.0,0.0
78,2.6984727710959966,881.0,66.0,47.0,0.0
79,2.7048602392512895,881.0,66.0,46.0,0.0
80,2.772445601205363,881.0,65.0,47.0,0.0
81,2.81524151863764,880.0,66.0,47.0,0.0
82,2.9027009201328267,880.0,66.0,46.0,0.0
83,2.9358922368737375,880.0,65.0,47.0,0.0
84,2.9536503948412274,879.0,66.0,47.0,0.0
85,3.0342268931149703,879.0,66.0,46.0,0.0
86,3.1002361574351123,878.0,67.0,46.0,0.0
87,3.1259786530065035,878.0,66.0,47.0,0.0
88,3.1266995583475077,878.0,65.0,48.0,0.0
89,3.1288478201624614,878.0,64.0,49.0,0.0
90,3.1340094350555843,877.0,65.0,49.0,0.0
91,3.191205871080031,877.0,64.0,50.0,0.0
92,3.2153853650892184,877.0,63.0,51.0,0.0
93,3.215398951227825,876.0,64.0,51.0,0.0
94,3.217458958363536,876.0,64.0,50.0,0.0
95,3.2255681061648556,876.0,63.0,51.0,0.0
96,3.2329720398923314,875.0,64.0,51.0,0.0
97,3.2465452732967512,874.0,65.0,51.0,0.0
98,3.2875094372230222,873.0,66.0,51.0,0.0
99,3.3261373388837936,873.0,66.0,50.0,0.0
100,3.3482218538204354,872.0,67.0,50.0,0.0
101,3.3505410438280423,872.0,67.0,49.0,0.0
102,3.3572088540912977,871.0,68.0,49.0,0.0
103,3.371360576304343,870.0,69.0,49.0,0.0
104,3.4050199205544915,870.0,68.0,50.0,0.0
105,3.4065821518816013,870.0,67.0,51.0,0.0
106,3.477940807840186,870.0,67.0,50.0,0.0
107,3.4935396933440845,870.0,67.0,49.0,0.0
108,3.499024357369971,869.0,68.0,49.0,0.0
109,3.505730061482515,869.0,67.0,50.0,0.0
110,3.516762266210085,868.0,68.0,50.0,0.0
111,3.5185337338753597,868.0,68.0,49.0,0.0
112,3.530083052176546,868.0,68.0,48.0,0.0
113,3.565703744730382,868.0,67.0,49.0,0.0
114,3.580663041164742,868.0,66.0,50.0,0.0
115,3.587166061309882,867.0,67.0,50.0,0.0
116,3.5932890827504385,867.0,66.0,51.0,0.0
117,3.6056289492153253,867.0,66.0,50.0,0.0
118,3.6209029999469036,867.0,65.0,51.0,0.0
119,3.639736262710838,866.0,66.0,51.0,0.0
120,3.6633370787974053,865.0,67.0,51.0,0.0
121,3.6801680323569137,864.0,68.0,51.0,0.0
122,3.717167660818713,864.0,68.0,50.0,0.0
123,3.732849092296706,863.0,69.0,50.0,0.0
124,3.737251558363929,862.0,70.0,50.0,0.0
125,3.758074816302829,862.0,69.0,51.0,0.0
126,3.766555358450404,862.0,68.0,52.0,0.0
127,3.7849490626986477,862.0,67.0,53.0,0.0
128,3.7956111154650207,861.0,68.0,53.0,0.0
129,3.8212330969827515,860.0,69.0,53.0,0.0
130,3.8797798950629874,860.0,68.0,54.0,0.0
131,3.886141795697067,860.0,67.0,55.0,0.0
132,3.8995283874055238,860.0,66.0,56.0,0.0
133,3.9478597868162297,860.0,65.0,57.0,0.0
134,3.9503971409115506,859.0,66.0,57.0,0.0
135,3.9505104305492265,859.0,65.0,58.0,0.0
136,4.0256184911212785,858.0,66.0,58.0,0.0
137,4.09420168235399,857.0,67.0,58.0,0.0
138,4.11951783130825,857.0,66.0,59.0,0.0
139,4.245677142131967,856.0,67.0,59.0,0.0
140,4.311915109299263,856.0,67.0,58.0,0.0
141,4.369396302525224,856.0,66.0,59.0,0.0
142,4.406702348335636,856.0,66.0,58.0,0.0
143,4.408476061259073,856.0,66.0,57.0,0.0
144,4.45517655556988,855.0,67.0,57.0,0.0
145,4.459139427520878,854.0,68.0,57.0,0.0
146,4.500946837582652,854.0,67.0,58.0,0.0
147,4.505487076066,854.0,66.0,59.0,0.0
148,4.515683175320606,853.0,67.0,59.0,0.0
149,4.525510596779778,853.0,67.0,58.0,0.0
150,4.5457844834867736,853.0,66.0,59.0,0.0
151,4.548625468615839,852.0,67.0,59.0,0.0
152,4.564646447169708,851.0,68.0,59.0,0.0
153,4.56694369140214,850.0,69.0,59.0,0.0
154,4.5700144538314555,850.0,68.0,60.0,0.0
155,4.615474408324963,849.0,69.0,60.0,0.0
156,4.6267950188376,849.0,68.0,61.0,0.0
157,4.64242835799259,848.0,69.0,61.0,0.0
158,4.695781536879013,847.0,70.0,61.0,0.0
159,4.699807019762259,847.0,70.0,60.0,0.0
160,4.707658160643462,846.0,71.0,60.0,0.0
161,4.812394966456785,845.0,72.0,60.0,0.0
162,4.8166471932248625,845.0,71.0,61.0,0.0
163,4.839975096321475,845.0,70.0,62.0,0.0
164,4.88614941672019,844.0,71.0,62.0,0.0
165,4.890222368013532,844.0,70.0,63.0,0.0
166,4.952922349420715,843.0,71.0,63.0,0.0
167,4.958026099153388,842.0,72.0,63.0,0.0
168,4.961930026690826,841.0,73.0,63.0,0.0
169,4.970718287004045,841.0,73.0,62.0,0.0
170,5.020911030327652,840.0,74.0,62.0,0.0
171,5.043929026242129,839.0,75.0,62.0,0.0
172,5.051655273482419,839.0,74.0,63.0,0.0
173,5.057039878049908,838.0,75.0,63.0,0.0
174,5.062322434056099,838.0,74.0,64.0,0.0
175,5.08298385789209,838.0,73.0,65.0,0.0
176,5.084861313070948,837.0,74.0,65.0,0.0
177,5.100958274864272,836.0,75.0,65.0,0.0
178,5.130156937143667,836.0,74.0,66.0,0.0
179,5.1376202490818645,836.0,73.0,67.0,0.0
180,5.1602300563718275,835.0,74.0,67.0,0.0
181,5.16371821622892,835.0,73.0,68.0,0.0
182,5.170574703450501,834.0,74.0,68.0,0.0
183,5.206238310559745,834.0,74.0,67.0,0.0
184,5.2377764539827085,833.0,75.0,67.0,0.0
185,5.24314543383442,832.0,76.0,67.0,0.0
186,5.245847408057791,832.0,76.0,66.0,0.0
187,5.260263037923312,831.0,77.0,66.0,0.0
188,5.2721909055291105,831.0,77.0,65.0,0.0
189,5.344302979789936,830.0,78.0,65.0,0.0
190,5.349974783773197,830.0,78.0,64.0,0.0
191,5.3537879645663295,830.0,77.0,65.0,0.0
192,5.360481421819586,829.0,78.0,65.0,0.0
193,5.374256423050149,829.0,77.0,66.0,0.0
194,5.406303364181878,829.0,76.0,67.0,0.0
195,5.427788660547136,829.0,76.0,66.0,0.0
196,5.508151687547941,829.0,75.0,67.0,0.0
197,5.515550594865123,829.0,75.0,66.0,0.0
198,5.540356455084276,829.0,74.0,67.0,0.0
199,5.540396932178043,828.0,75.0,67.0,0.0
200,5.559296492736689,827.0,76.0,67.0,0.0
201,5.569806623509508,827.0,75.0,68.0,0.0
202,5.571726977438299,827.0,75.0,67.0,0.0
203,5.607707780890221,827.0,74.0,68.0,0.0
204,5.608603558325666,826.0,75.0,68.0,0.0
205,5.614238469403506,826.0,75.0,67.0,0.0
206,5.64172335767139,825.0,76.0,67.0,0.0
207,5.647784091740416,824.0,77.0,67.0,0.0
208,5.64788151307973,823.0,78.0,67.0,0.0
209,5.648519421488226,822.0,79.0,67.0,0.0
210,5.664885108199297,822.0,79.0,66.0,0.0
211,5.6839571802596955,822.0,78.0,67.0,0.0
212,5.691710175776765,822.0,77.0,68.0,0.0
213,5.723846903348629,822.0,76.0,69.0,0.0
214,5.738076789205686,821.0,77.0,69.0,0.0
215,5.7464731774527,821.0,76.0,70.0,0.0
216,5.774646240853973,821.0,76.0,69.0,0.0
217,5.786467504594939,820.0,77.0,69.0,0.0
218,5.80979890738953,820.0,77.0,68.0,0.0
219,5.813932762233472,820.0,76.0,69.0,0.0
220,5.81744891639826,819.0,77.0,69.0,0.0
221,5.8364152305049615,818.0,78.0,69.0,0.0
222,5.870092727253218,817.0,79.0,69.0,0.0
223,5.8995795649846405,816.0,80.0,69.0,0.0
224,5.920054717942287,816.0,79.0,70.0,0.0
225,5.9618572691944935,816.0,78.0,71.0,0.0
226,5.99226350035245,815.0,79.0,71.0,0.0
227,6.039315189419809,815.0,78.0,72.0,0.0
228,6.083482940179878,814.0,79.0,72.0,0.0
229,6.100861178429106,814.0,78.0,73.0,0.0
230,6.11458468976812,814.0,77.0,74.0,0.0
231,6.119108664864576,813.0,78.0,74.0,0.0
232,6.121325079717576,812.0,79.0,74.0,0.0
233,6.143595820979931,811.0,80.0,74.0,0.0
234,6.18222967407753,811.0,79.0,75.0,0.0
235,6.225856381118803,810.0,80.0,75.0,0.0
236,6.226049917298397,810.0,80.0,74.0,0.0
237,6.265607143161014,809.0,81.0,74.0,0.0
238,6.269362938572166,808.0,82.0,74.0,0.0
239,6.275465953726036,807.0,83.0,74.0,0.0
240,6.282652590643947,806.0,84.0,74.0,0.0
241,6.33883366787387,805.0,85.0,74.0,0.0
242,6.38273884900963,804.0,86.0,74.0,0.0
243,6.453312220447513,804.0,85.0,75.0,0.0
244,6.499245148395984,803.0,86.0,75.0,0.0
245,6.506124205096956,803.0,85.0,76.0,0.0
246,6.507118468179403,803.0,85.0,75.0,0.0
247,6.513820166562181,803.0,85.0,74.0,0.0
248,6.535075467129291,803.0,85.0,73.0,0.0
249,6.535301880694516,802.0,86.0,73.0,0.0
250,6.609952035521588,802.0,85.0,74.0,0.0
251,6.629022593943219,802.0,85.0,73.0,0.0
252,6.684056665259021,802.0,84.0,74.0,0.0
253,6.697964263763903,802.0,83.0,75.0,0.0
254,6.707805544983195,802.0,83.0,74.0,0.0
255,6.730230983494545,801.0,84.0,74.0,0.0
256,6.738869537749389,800.0,85.0,74.0,0.0
257,6.783796548411764,800.0,85.0,73.0,0.0
258,6.805908722313217,800.0,85.0,72.0,0.0
259,6.849281066354671,799.0,86.0,72.0,0.0
260,6.873083432347503,798.0,87.0,72.0,0.0
261,6.875046964340102,798.0,86.0,73.0,0.0
262,6.904786978529453,797.0,87.0,73.0,0.0
263,6.905452199317462,797.0,86.0,74.0,0.0
264,6.944350020190679,796.0,87.0,74.0,0.0
265,7.0105589807993685,796.0,86.0,75.0,0.0
266,7.015832035119635,795.0,87.0,75.0,0.0
267,7.0457698250980245,795.0,87.0,74.0,0.0
268,7.049710887516913,794.0,88.0,74.0,0.0
269,7.059350941341045,793.0,89.0,74.0,0.0
270,7.0878843274472425,793.0,88.0,75.0,0.0
271,7.110171634794854,792.0,89.0,75.0,0.0
272,7.1103056561050435,792.0,89.0,74.0,0.0
273,7.1415251219340385,791.0,90.0,74.0,0.0
