Time,S,E,I,R
0.0,900.0,100.0,0.0,0.0
0.11076529794874211,900.0,99.0,1.0,0.0
0.1612661182623436,900.0,98.0,2.0,0.0
0.26663312433784286,900.0,97.0,3.0,0.0
0.31165424278753384,900.0,96.0,4.0,0.0
0.4581634395377565,900.0,95.0,5.0,0.0
0.5690792246029119,900.0,94.0,6.0,0.0
0.5706479847181112,899.0,95.0,6.0,0.0
0.6255202196681969,899.0,94.0,7.0,0.0
0.6298156789147814,899.0,93.0,8.0,0.0
0.6317575407769054,899.0,92.0,9.0,0.0
0.6341877296271774,899.0,91.0,10.0,0.0
0.6649463707222291,899.0,90.0,11.0,0.0
0.7046103930959208,899.0,89.0,12.0,0.0
0.710995667612439,899.0,88.0,13.0,0.0
0.7129581379279182,899.0,87.0,14.0,0.0
0.7312313068397237,899.0,86.0,15.0,0.0
0.791972243697878,899.0,85.0,16.0,0.0
0.8310729039860792,899.0,85.0,15.0,0.0
0.8589080238014979,899.0,84.0,16.0,0.0
0.9077133953859263,898.0,85.0,16.0,0.0
0.9349167922770838,897.0,86.0,16.0,0.0
0.9402330770447274,897.0,85.0,17.0,0.0
0.9460719584998278,897.0,84.0,18.0,0.0
1.0992938149463112,897.0,83.0,19.0,0.0
1.1841133650111884,897.0,82.0,20.0,0.0
1.22460760486857,896.0,83.0,20.0,0.0
1.2460520719226407,896.0,82.0,21.0,0.0
1.2508433202679912,896.0,81.0,22.0,0.0
1.2596279348276966,896.0,80.0,23.0,0.0
1.2783855557988304,895.0,81.0,23.0,0.0
1.2838935911495302,894.0,82.0,23.0,0.0
1.292739503490987,893.0,83.0,23.0,0.0
1.4124766629423229,892.0,84.0,23.0,0.0
1.4246507581603074,892.0,83.0,24.0,0.0
1.4274339755262075,892.0,82.0,25.0,0.0
1.4276141691442061,892.0,81.0,26.0,0.0
1.5519072987875424,892.0,80.0,27.0,0.0
1.5599012823023952,892.0,80.0,26.0,0.0
1.56793721827798,892.0,79.0,27.0,0.0
1.618857151401631,892.0,78.0,28.0,0.0
1.6402164701075723,891.0,79.0,28.0,0.0
1.6701123077346829,891.0,78.0,29.0,0.0
1.7116053047988564,891.0,77.0,30.0,0.0
1.7119554385208602,891.0,76.0,31.0,0.0
1.7601570738200212,891.0,75.0,32.0,0.0
1.767574019223522,891.0,74.0,33.0,0.0
1.7751605944023892,891.0,74.0,32.0,0.0
1.7826258558845236,891.0,73.0,33.0,0.0
1.7833478610198579,890.0,74.0,33.0,0.0
1.810767079597555,889.0,75.0,33.0,0.0
1.8230123100870277,889.0,75.0,32.0,0.0
1.9029594099404676,889.0,74.0,33.0,0.0
1.9226206366371887,888.0,75.0,33.0,0.0
1.9560785540484715,888.0,74.0,34.0,0.0
2.0269109112401105,888.0,73.0,35.0,0.0
