index,Value
0,[4]
1,[1]
2,[1]
3,[1]
4,[1]
5,[1]
6,[1]
7,[1]
8,[1]
9,[4]
10,[4]
11,[4]
12,[4]
13,[4]
14,[4]
15,[1]
16,[1]
17,[4]
18,[4]
19,[4]
20,[4]
21,[4]
22,[4]
23,[4]
24,[4]
25,[4]
26,[4]
27,[4]
28,[4]
29,[1]
30,[1]
31,[1]
32,[1]
33,[1]
34,[1]
35,[4]
36,[4]
37,[4]
38,[4]
39,[4]
40,[4]
41,[4]
42,[4]
43,[1]
44,[5]
45,[1]
46,[1]
47,[4]
48,[4]
49,[4]
50,[4]
51,[4]
52,[4]
53,[4]
54,[1]
55,[1]
56,[1]
57,[1]
58,[1]
59,[1]
60,[1]
61,[1]
62,[1]
63,[1]
64,[1]
65,[1]
66,[1]
67,[4]
68,[1]
69,[4]
70,[4]
71,[1]
72,[1]
73,[1]
74,[1]
75,[1]
76,[1]
77,[1]
78,[1]
79,[1]
80,[1]
81,[1]
82,[1]
83,[1]
84,[1]
85,[1]
86,[1]
87,[1]
88,[1]
89,[5]
90,[4]
91,[1]
92,[1]
93,[1]
94,[1]
95,[1]
96,[1]
97,[4]
98,[4]
99,[4]
100,[4]
101,[4]
102,[4]
103,[4]
104,[4]
105,[4]
106,[4]
107,[4]
108,[4]
109,[4]
110,[4]
111,[4]
112,[4]
113,[4]
114,[1]
115,[4]
116,[4]
117,[4]
118,[4]
119,[4]
120,[4]
121,[4]
122,[1]
123,[1]
124,[5]
125,[1]
126,[1]
127,[1]
128,[1]
129,[1]
130,[1]
131,[4]
132,[1]
133,[4]
134,[4]
135,[4]
136,[4]
137,[4]
138,[4]
139,[4]
140,[4]
141,[1]
142,[1]
143,[5]
144,[1]
145,[1]
146,[4]
147,[1]
148,[1]
149,[1]
150,[1]
151,[4]
152,[1]
153,[1]
154,[1]
155,[1]
156,[4]
157,[4]
158,[4]
159,[4]
160,[4]
161,[4]
162,[4]
163,[4]
164,[4]
165,[4]
166,[4]
167,[4]
168,[4]
169,[4]
170,[4]
171,[4]
172,[4]
173,[4]
174,[4]
175,[4]
176,[4]
177,[4]
178,[4]
179,[4]
180,[4]
181,[4]
182,[4]
183,[4]
184,[4]
185,[4]
186,[4]
187,[4]
188,[4]
189,[4]
190,[4]
191,[4]
192,[4]
193,[4]
194,[4]
195,[4]
196,[4]
197,[4]
198,[1]
199,[4]
200,[1]
201,[4]
202,[1]
203,[4]
204,[1]
205,[1]
206,[1]
207,[4]
208,[1]
209,[4]
210,[4]
211,[4]
212,[4]
213,[1]
214,[4]
215,[4]
216,[4]
217,[4]
218,[4]
219,[4]
220,[4]
221,[1]
222,[1]
223,[4]
224,[4]
225,[1]
226,[1]
227,[1]
228,[4]
229,[4]
230,[4]
231,[4]
232,[4]
233,[4]
234,[4]
235,[4]
236,[4]
237,[4]
238,[4]
239,[4]
240,[5]
241,[1]
242,[1]
243,[1]
244,[1]
245,[1]
246,[1]
247,[1]
248,[1]
249,[1]
250,[1]
251,[4]
252,[4]
253,[4]
254,[4]
255,[4]
256,[4]
257,[4]
258,[1]
259,[1]
260,[1]
261,[1]
262,[1]
263,[1]
264,[1]
265,[5]
266,[1]
267,[1]
268,[4]
269,[1]
270,[1]
271,[4]
272,[4]
273,[4]
274,[4]
275,[4]
276,[1]
277,[4]
278,[4]
279,[1]
280,[4]
281,[4]
282,[4]
283,[4]
284,[4]
285,[4]
286,[5]
287,[1]
288,[1]
289,[1]
290,[1]
291,[1]
292,[1]
293,[4]
294,[4]
295,[4]
296,[4]
297,[4]
298,[4]
299,[4]
300,[4]
301,[4]
302,[4]
303,[4]
304,[1]
305,[4]
306,[4]
307,[4]
308,[4]
309,[4]
310,[4]
311,[1]
312,[4]
313,[1]
314,[1]
315,[1]
316,[1]
317,[1]
318,[4]
319,[4]
320,[1]
321,[1]
322,[4]
323,[4]
324,[1]
325,[4]
326,[1]
327,[1]
328,[1]
329,[1]
330,[1]
331,[4]
332,[4]
333,[4]
334,[5]
335,[1]
336,[4]
337,[1]
338,[1]
339,[1]
340,[1]
341,[1]
342,[1]
343,[1]
344,[1]
345,[1]
346,[1]
347,[1]
348,[1]
349,[4]
350,[4]
351,[4]
352,[4]
353,[4]
354,[4]
355,[4]
