Iter,Time,S,E,I,R
0,0.0,0.0,100.0,0.0,0.0
1,0.12039876788234809,0.0,99.0,1.0,0.0
2,0.2705913423381659,0.0,98.0,2.0,0.0
3,0.2896458276520696,0.0,97.0,3.0,0.0
4,0.30508976869773285,0.0,96.0,4.0,0.0
5,0.34051708457500607,0.0,95.0,5.0,0.0
6,0.3561860573142909,0.0,94.0,6.0,0.0
7,0.3894797318958756,0.0,93.0,7.0,0.0
8,0.4356663173231726,0.0,92.0,8.0,0.0
9,0.4962470046838009,0.0,92.0,7.0,0.0
10,0.6233202879827829,0.0,92.0,6.0,0.0
11,0.7100914283557361,0.0,91.0,7.0,0.0
12,0.7539190005325378,0.0,90.0,8.0,0.0
13,0.9610517952803597,0.0,89.0,9.0,0.0
14,1.0323612061597947,0.0,88.0,10.0,0.0
15,1.0659614583570851,0.0,87.0,11.0,0.0
16,1.0858394991758833,0.0,87.0,10.0,0.0
17,1.2114986711150895,0.0,86.0,11.0,0.0
18,1.269723882123583,0.0,85.0,12.0,0.0
19,1.322798186887829,0.0,84.0,13.0,0.0
20,1.3394888887440013,0.0,83.0,14.0,0.0
21,1.348685306826687,0.0,82.0,15.0,0.0
22,1.3880478121969304,0.0,81.0,16.0,0.0
23,1.4303135698827225,0.0,80.0,17.0,0.0
24,1.466631308142507,0.0,80.0,16.0,0.0
25,1.4994143417100312,0.0,79.0,17.0,0.0
26,1.5201794054200117,0.0,78.0,18.0,0.0
27,1.6128476105024585,0.0,78.0,17.0,0.0
28,1.6235704772157975,0.0,77.0,18.0,0.0
29,1.667389497869487,0.0,76.0,19.0,0.0
30,1.6961032040975816,0.0,75.0,20.0,0.0
31,1.8179135789000636,0.0,74.0,21.0,0.0
32,1.8795450363577813,0.0,73.0,22.0,0.0
33,1.9378247524835044,0.0,72.0,23.0,0.0
34,2.086266923047126,0.0,71.0,24.0,0.0
35,2.1748537778423733,0.0,71.0,23.0,0.0
36,2.226813564742592,0.0,71.0,22.0,0.0
37,2.283096029354738,0.0,70.0,23.0,0.0
38,2.3001764642290357,0.0,69.0,24.0,0.0
39,2.3416713745668747,0.0,68.0,25.0,0.0
40,2.359601933931437,0.0,67.0,26.0,0.0
41,2.4462516599463044,0.0,66.0,27.0,0.0
42,2.5487507816805537,0.0,65.0,28.0,0.0
43,2.724919619165606,0.0,64.0,29.0,0.0
44,2.7747773784807266,0.0,63.0,30.0,0.0
45,2.779243810569826,0.0,62.0,31.0,0.0
46,3.000011683075847,0.0,61.0,32.0,0.0
47,3.051300725417569,0.0,60.0,33.0,0.0
48,3.0871690270655545,0.0,59.0,34.0,0.0
49,3.159693669805644,0.0,58.0,35.0,0.0
50,3.3795281228538867,0.0,57.0,36.0,0.0
51,3.397947920177821,0.0,56.0,37.0,0.0
52,3.469545506552815,0.0,55.0,38.0,0.0
53,3.5747455973769267,0.0,54.0,39.0,0.0
54,3.5940980412513692,0.0,53.0,40.0,0.0
55,3.5952111011850874,0.0,52.0,41.0,0.0
56,3.6861685065641736,0.0,51.0,42.0,0.0
57,3.745979946432023,0.0,50.0,43.0,0.0
58,3.750025767310772,0.0,50.0,42.0,0.0
59,3.8730438155370925,0.0,50.0,41.0,0.0
60,3.9330231394909236,0.0,50.0,40.0,0.0
61,3.950430995669608,0.0,50.0,39.0,0.0
62,4.080497304094667,0.0,49.0,40.0,0.0
63,4.094096316458541,0.0,49.0,39.0,0.0
64,4.144422606961258,0.0,49.0,38.0,0.0
65,4.230361135640245,0.0,49.0,37.0,0.0
66,4.347493992924551,0.0,49.0,36.0,0.0
67,4.360228238567478,0.0,49.0,35.0,0.0
68,4.457111684836017,0.0,49.0,34.0,0.0
69,4.4717533725246,0.0,48.0,35.0,0.0
70,4.498873066986783,0.0,47.0,36.0,0.0
71,4.539016015995467,0.0,46.0,37.0,0.0
72,4.580739606076233,0.0,45.0,38.0,0.0
73,4.741968594987954,0.0,44.0,39.0,0.0
74,4.783715081008754,0.0,43.0,40.0,0.0
75,4.858476581936053,0.0,42.0,41.0,0.0
76,5.0005087889189275,0.0,41.0,42.0,0.0
77,5.136533860189142,0.0,41.0,41.0,0.0
78,5.1932870692397435,0.0,41.0,40.0,0.0
79,5.2321625105009,0.0,40.0,41.0,0.0
80,5.2351363177984265,0.0,39.0,42.0,0.0
81,5.262024954877025,0.0,38.0,43.0,0.0
82,5.3485223395502,0.0,38.0,42.0,0.0
83,5.40276051097985,0.0,38.0,41.0,0.0
84,5.438333657568485,0.0,38.0,40.0,0.0
85,5.529184764156312,0.0,37.0,41.0,0.0
86,5.632270374547091,0.0,37.0,40.0,0.0
87,5.68857454185395,0.0,37.0,39.0,0.0
88,5.727785425460856,0.0,36.0,40.0,0.0
89,5.771652081875461,0.0,35.0,41.0,0.0
90,5.81166576816229,0.0,35.0,40.0,0.0
91,5.814681772221896,0.0,34.0,41.0,0.0
92,5.828707382873136,0.0,34.0,40.0,0.0
93,6.05376962373567,0.0,34.0,39.0,0.0
94,6.395262682682286,0.0,34.0,38.0,0.0
95,6.416860328789162,0.0,33.0,39.0,0.0
96,6.505387885064694,0.0,32.0,40.0,0.0
97,6.536348823655829,0.0,31.0,41.0,0.0
98,6.573615902939247,0.0,31.0,40.0,0.0
99,6.760215341853518,0.0,31.0,39.0,0.0
100,6.825917354494001,0.0,30.0,40.0,0.0
101,6.842999795023796,0.0,29.0,41.0,0.0
102,6.860989725237736,0.0,28.0,42.0,0.0
103,6.972299827718191,0.0,27.0,43.0,0.0
104,7.1269999168436575,0.0,26.0,44.0,0.0
105,7.429318675226894,0.0,26.0,43.0,0.0
106,7.455068739768997,0.0,26.0,42.0,0.0
107,7.467024820923872,0.0,26.0,41.0,0.0
108,7.522530202817894,0.0,26.0,40.0,0.0
109,7.671111651608869,0.0,25.0,41.0,0.0
110,7.724325200719133,0.0,25.0,40.0,0.0
111,7.827382720271229,0.0,24.0,41.0,0.0
112,8.002518881203363,0.0,23.0,42.0,0.0
113,8.021681947301508,0.0,22.0,43.0,0.0
114,8.102944154383849,0.0,21.0,44.0,0.0
115,8.234999049042155,0.0,21.0,43.0,0.0
116,8.310522648513738,0.0,21.0,42.0,0.0
117,8.36961087391708,0.0,21.0,41.0,0.0
118,8.37976361517965,0.0,21.0,40.0,0.0
119,8.449328008452254,0.0,20.0,41.0,0.0
120,8.479668519257539,0.0,20.0,40.0,0.0
121,8.509280088776514,0.0,19.0,41.0,0.0
122,8.605616699469579,0.0,19.0,40.0,0.0
123,8.871538361588652,0.0,19.0,39.0,0.0
124,9.082834798123528,0.0,19.0,38.0,0.0
125,9.300658938629526,0.0,19.0,37.0,0.0
126,9.458724832722492,0.0,19.0,36.0,0.0
127,9.466736487230976,0.0,19.0,35.0,0.0
