Iter,Time,S,E,I,R
0,0.0,900.0,100.0,0.0,0.0
1,0.04240910673712298,900.0,99.0,1.0,0.0
2,0.05691726933074602,900.0,98.0,2.0,0.0
3,0.08293831160617926,900.0,97.0,3.0,0.0
4,0.10222009043677147,900.0,96.0,4.0,0.0
5,0.24413297893130173,900.0,95.0,5.0,0.0
6,0.2605310401419011,900.0,94.0,6.0,0.0
7,0.32042731360762244,900.0,93.0,7.0,0.0
8,0.40790136450082093,900.0,92.0,8.0,0.0
9,0.40984742934404017,900.0,91.0,9.0,0.0
10,0.41268692556051084,900.0,90.0,10.0,0.0
11,0.41871571195139506,900.0,89.0,11.0,0.0
12,0.48121060543663174,899.0,90.0,11.0,0.0
13,0.4897154854511006,899.0,89.0,12.0,0.0
14,0.49632757610384964,899.0,89.0,11.0,0.0
15,0.5231143110983505,899.0,88.0,12.0,0.0
16,0.5279003546306659,899.0,87.0,13.0,0.0
17,0.5317552455835107,899.0,86.0,14.0,0.0
18,0.6156311435579563,899.0,85.0,15.0,0.0
19,0.6157638906826184,899.0,84.0,16.0,0.0
20,0.6200712697912248,899.0,83.0,17.0,0.0
21,0.6286331617201569,898.0,84.0,17.0,0.0
22,0.648442727824119,898.0,83.0,18.0,0.0
23,0.7186813316848142,898.0,82.0,19.0,0.0
24,0.725338370239513,897.0,83.0,19.0,0.0
25,0.7357264904913937,897.0,83.0,18.0,0.0
26,0.7464479933073055,897.0,82.0,19.0,0.0
27,0.7626523722610854,897.0,81.0,20.0,0.0
28,0.771291689010531,897.0,80.0,21.0,0.0
29,0.8237001338363504,897.0,79.0,22.0,0.0
30,0.8779798151477278,897.0,79.0,21.0,0.0
31,0.8901700789444194,896.0,80.0,21.0,0.0
32,0.916692948952468,896.0,79.0,22.0,0.0
33,0.9190098271313334,895.0,80.0,22.0,0.0
34,0.9315085684168183,894.0,81.0,22.0,0.0
35,0.9352873603170502,893.0,82.0,22.0,0.0
36,1.01855875048744,893.0,81.0,23.0,0.0
37,1.0260430752091594,893.0,81.0,22.0,0.0
38,1.040575694998219,893.0,80.0,23.0,0.0
39,1.1813973209077455,893.0,80.0,22.0,0.0
40,1.2333379470596362,893.0,79.0,23.0,0.0
41,1.2381268079373169,893.0,78.0,24.0,0.0
42,1.245355684215306,892.0,79.0,24.0,0.0
43,1.2632875959575491,892.0,78.0,25.0,0.0
44,1.2971125594224462,892.0,78.0,24.0,0.0
45,1.3002497570246914,892.0,77.0,25.0,0.0
46,1.315517513048054,891.0,78.0,25.0,0.0
47,1.3182597259074211,891.0,78.0,24.0,0.0
48,1.5062069513911343,891.0,77.0,25.0,0.0
49,1.5094441063825788,891.0,76.0,26.0,0.0
50,1.5427812264104162,891.0,75.0,27.0,0.0
51,1.5520714282778167,891.0,74.0,28.0,0.0
52,1.5744637952630816,891.0,73.0,29.0,0.0
53,1.5886029090900475,890.0,74.0,29.0,0.0
54,1.6436808023033787,890.0,73.0,30.0,0.0
55,1.683835367486947,890.0,72.0,31.0,0.0
56,1.6843456194947912,890.0,72.0,30.0,0.0
57,1.7503727932993423,889.0,73.0,30.0,0.0
58,1.7523751923805562,888.0,74.0,30.0,0.0
59,1.7639051798654202,888.0,73.0,31.0,0.0
60,1.8077644264988315,888.0,73.0,30.0,0.0
61,1.8838469620051876,888.0,72.0,31.0,0.0
62,1.884226099572572,887.0,73.0,31.0,0.0
63,1.9037436873180908,887.0,73.0,30.0,0.0
64,1.9038252918313705,886.0,74.0,30.0,0.0
65,2.0031287133503395,886.0,73.0,31.0,0.0
66,2.0335889002064262,885.0,74.0,31.0,0.0
67,2.0595796614620197,884.0,75.0,31.0,0.0
68,2.0926101327840403,883.0,76.0,31.0,0.0
69,2.1052095887421696,882.0,77.0,31.0,0.0
70,2.1996033092893312,881.0,78.0,31.0,0.0
71,2.2223009102372706,880.0,79.0,31.0,0.0
72,2.2382744955762113,879.0,80.0,31.0,0.0
73,2.297123586220268,878.0,81.0,31.0,0.0
74,2.329592362019495,878.0,81.0,30.0,0.0
75,2.4052961624499014,878.0,81.0,29.0,0.0
76,2.4137010616228722,877.0,82.0,29.0,0.0
77,2.460938821530051,877.0,82.0,28.0,0.0
78,2.500354657359792,877.0,81.0,29.0,0.0
79,2.5359021914118256,877.0,81.0,28.0,0.0
80,2.599559882412012,877.0,80.0,29.0,0.0
81,2.6126418633441952,877.0,79.0,30.0,0.0
82,2.689405220662895,876.0,80.0,30.0,0.0
83,2.691245558183423,875.0,81.0,30.0,0.0
84,2.7073073352678176,875.0,80.0,31.0,0.0
85,2.7352140277908172,874.0,81.0,31.0,0.0
86,2.7884337084152535,873.0,82.0,31.0,0.0
87,2.7964796841076507,872.0,83.0,31.0,0.0
88,2.8323792978866367,872.0,82.0,32.0,0.0
89,2.851426628960897,872.0,81.0,33.0,0.0
90,2.9002124981993394,871.0,82.0,33.0,0.0
91,2.902162222589978,870.0,83.0,33.0,0.0
92,2.902668292644677,870.0,82.0,34.0,0.0
93,2.933777069805459,870.0,82.0,33.0,0.0
