Time,S,E,I,R
0,900.0,100.0,0.0,0.0
1,900.0,99.0,1.0,0.0
2,900.0,98.0,2.0,0.0
3,900.0,97.0,3.0,0.0
4,900.0,96.0,4.0,0.0
5,900.0,95.0,5.0,0.0
6,900.0,94.0,6.0,0.0
7,899.0,95.0,6.0,0.0
8,899.0,94.0,7.0,0.0
9,899.0,93.0,8.0,0.0
10,899.0,92.0,9.0,0.0
11,899.0,91.0,10.0,0.0
12,899.0,90.0,11.0,0.0
13,899.0,89.0,12.0,0.0
14,899.0,88.0,13.0,0.0
15,899.0,87.0,14.0,0.0
16,899.0,86.0,15.0,0.0
17,899.0,85.0,16.0,0.0
18,899.0,85.0,15.0,0.0
19,899.0,84.0,16.0,0.0
20,898.0,85.0,16.0,0.0
21,897.0,86.0,16.0,0.0
22,897.0,85.0,17.0,0.0
23,897.0,84.0,18.0,0.0
24,897.0,83.0,19.0,0.0
25,897.0,82.0,20.0,0.0
26,896.0,83.0,20.0,0.0
27,896.0,82.0,21.0,0.0
28,896.0,81.0,22.0,0.0
29,896.0,80.0,23.0,0.0
30,895.0,81.0,23.0,0.0
31,894.0,82.0,23.0,0.0
32,893.0,83.0,23.0,0.0
33,892.0,84.0,23.0,0.0
34,892.0,83.0,24.0,0.0
35,892.0,82.0,25.0,0.0
36,892.0,81.0,26.0,0.0
37,892.0,80.0,27.0,0.0
38,892.0,80.0,26.0,0.0
39,892.0,79.0,27.0,0.0
40,892.0,78.0,28.0,0.0
41,891.0,79.0,28.0,0.0
42,891.0,78.0,29.0,0.0
43,891.0,77.0,30.0,0.0
44,891.0,76.0,31.0,0.0
45,891.0,75.0,32.0,0.0
46,891.0,74.0,33.0,0.0
47,891.0,74.0,32.0,0.0
48,891.0,73.0,33.0,0.0
49,890.0,74.0,33.0,0.0
50,889.0,75.0,33.0,0.0
51,889.0,75.0,32.0,0.0
52,889.0,74.0,33.0,0.0
53,888.0,75.0,33.0,0.0
54,888.0,74.0,34.0,0.0
55,888.0,73.0,35.0,0.0
56,887.0,74.0,35.0,0.0
57,887.0,74.0,34.0,0.0
58,886.0,75.0,34.0,0.0
59,886.0,75.0,33.0,0.0
60,886.0,74.0,34.0,0.0
61,886.0,74.0,33.0,0.0
62,886.0,73.0,34.0,0.0
63,885.0,74.0,34.0,0.0
64,884.0,75.0,34.0,0.0
65,884.0,74.0,35.0,0.0
66,883.0,75.0,35.0,0.0
67,882.0,76.0,35.0,0.0
68,881.0,77.0,35.0,0.0
69,881.0,77.0,34.0,0.0
70,881.0,76.0,35.0,0.0
71,881.0,75.0,36.0,0.0
72,881.0,74.0,37.0,0.0
73,880.0,75.0,37.0,0.0
74,879.0,76.0,37.0,0.0
